sample_id,shadow_case,shadow_case_name,cloud_bucket,cloud_frac,shadow_frac,clear_frac,division_pos_frac,bbox_valid,bbox_area_frac,division_clear_leakage,division_cloud_leakage
roi121522_2022-09-22_2022-10-07_roi121522_s2_toa_2022_9_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi127368_2022-08-16_2022-08-31_roi127368_s2_toa_2022_8_16_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi127452_2022-04-18_2022-04-25_roi127452_s2_toa_2022_4_23_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi128630_2022-09-22_2022-10-07_roi128630_s2_toa_2022_10_7_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi12925_2022-02-08_2022-02-16_roi12925_s2_toa_2022_2_11_median,2,ambiguous,high,0.989410400390625,0.00799560546875,0.002593994140625,0.0023040771484375,1.0,0.01007080078125,0.0,0.0014342556241899729
roi131783_2022-06-25_2022-07-10_roi131783_s2_toa_2022_6_25_median,2,ambiguous,high,0.99676513671875,0.0030975341796875,0.0001373291015625,0.0,1.0,1.0,0.0,0.0
roi13276_2022-08-01_2022-08-16_roi13276_s2_toa_2022_8_6_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi13501_2022-11-11_2022-11-26_roi13501_s2_toa_2022_11_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi13712_2022-03-11_2022-03-26_roi13712_s2_toa_2022_3_11_median,0,no_shadow,high,1.0,0.0,0.0,0.00177001953125,1.0,0.0066680908203125,0.0,0.00177001953125
roi137560_2022-11-09_2022-11-24_roi137560_s2_toa_2022_11_14_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi139899_2022-03-19_2022-03-27_roi139899_s2_toa_2022_3_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi140210_2022-07-19_2022-08-03_roi140210_s2_toa_2022_7_19_median,2,ambiguous,high,0.9454803466796875,0.0545196533203125,0.0,0.348724365234375,1.0,0.89453125,0.0,0.3114278018474579
roi140513_2022-10-27_2022-11-11_roi140513_s2_toa_2022_11_1_median,2,ambiguous,high,0.9391708374023438,0.0219573974609375,0.03887176513671875,0.0266876220703125,1.0,0.208465576171875,0.31373897194862366,0.01492294855415821
roi14130_2022-01-23_2022-02-07_roi14130_s2_toa_2022_2_2_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi14130_2022-12-04_2022-12-19_roi14130_s2_toa_2022_12_4_median,2,ambiguous,high,0.9558944702148438,0.0,0.04410552978515625,0.0585479736328125,1.0,0.198028564453125,0.7450268268585205,0.02687343955039978
roi14320_2022-07-23_2022-07-30_roi14320_s2_toa_2022_7_25_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi143340_2022-10-11_2022-10-26_roi143340_s2_toa_2022_10_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi144201_2022-03-14_2022-03-29_roi144201_s2_toa_2022_3_14_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi145406_2022-06-27_2022-07-12_roi145406_s2_toa_2022_6_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi146851_2022-06-14_2022-06-29_roi146851_s2_toa_2022_6_14_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi14799_2022-11-14_2022-11-21_roi14799_s2_toa_2022_11_14_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi15015_2022-12-04_2022-12-11_roi15015_s2_toa_2022_12_4_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi151498_2022-11-15_2022-11-30_roi151498_s2_toa_2022_11_25_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi152252_2022-02-03_2022-02-18_roi152252_s2_toa_2022_2_3_median,0,no_shadow,high,0.9972991943359375,0.0,0.0027008056640625,0.0,1.0,1.0,0.0,0.0
roi15288_2022-05-15_2022-05-30_roi15288_s2_toa_2022_5_25_median,0,no_shadow,high,1.0,0.0,0.0,0.000640869140625,1.0,0.002777099609375,0.0,0.000640869140625
roi153832_2022-11-26_2022-12-11_roi153832_s2_toa_2022_12_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi15463_2022-04-20_2022-04-28_roi15463_s2_toa_2022_4_23_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi157079_2022-02-19_2022-03-06_roi157079_s2_toa_2022_3_1_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi158206_2022-05-24_2022-06-08_roi158206_s2_toa_2022_6_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi15889_2022-08-26_2022-09-10_roi15889_s2_toa_2022_8_31_median,0,no_shadow,high,0.9838790893554688,0.0,0.01612091064453125,0.0,1.0,1.0,0.0,0.0
roi15897_2022-02-12_2022-02-27_roi15897_s2_toa_2022_2_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi159803_2022-05-24_2022-06-08_roi159803_s2_toa_2022_6_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi160345_2022-02-06_2022-02-21_roi160345_s2_toa_2022_2_6_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi16080_2022-09-11_2022-09-18_roi16080_s2_toa_2022_9_18_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi16110_2022-10-25_2022-11-09_roi16110_s2_toa_2022_10_30_median,2,ambiguous,high,0.7603302001953125,0.15192031860351562,0.08774948120117188,0.5663909912109375,1.0,1.0,0.6414380669593811,0.472114622592926
roi16124_2022-07-02_2022-07-09_roi16124_s2_toa_2022_7_9_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi16129_2022-01-25_2022-02-09_roi16129_s2_toa_2022_1_25_median,2,ambiguous,high,1.0,0.0,0.0,0.112457275390625,1.0,1.0,0.0,0.112457275390625
roi163005_2022-01-26_2022-02-10_roi163005_s2_toa_2022_1_31_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi164364_2022-11-27_2022-12-12_roi164364_s2_toa_2022_12_2_median,0,no_shadow,high,1.0,0.0,0.0,0.000518798828125,1.0,0.003204345703125,0.0,0.000518798828125
roi165318_2022-07-30_2022-08-14_roi165318_s2_toa_2022_8_9_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi16570_2022-03-11_2022-03-26_roi16570_s2_toa_2022_3_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi168061_2022-03-03_2022-03-18_roi168061_s2_toa_2022_3_8_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi17063_2022-02-16_2022-03-03_roi17063_s2_toa_2022_2_16_median,0,no_shadow,high,1.0,0.0,0.0,0.000823974609375,1.0,0.1702880859375,0.0,0.000823974609375
roi17063_2022-08-25_2022-09-09_roi17063_s2_toa_2022_9_9_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi171220_2022-10-27_2022-11-11_roi171220_s2_toa_2022_11_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi17198_2022-04-03_2022-04-18_roi17198_s2_toa_2022_4_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi17198_2022-08-01_2022-08-16_roi17198_s2_toa_2022_8_6_median,2,ambiguous,medium,0.313446044921875,0.5941543579101562,0.09239959716796875,0.92401123046875,1.0,1.0,0.7941540479660034,0.907092809677124
roi172554_2022-10-27_2022-11-11_roi172554_s2_toa_2022_11_1_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi173193_2022-11-06_2022-11-21_roi173193_s2_toa_2022_11_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi17425_2022-10-25_2022-11-09_roi17425_s2_toa_2022_10_30_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi17853_2022-08-14_2022-08-21_roi17853_s2_toa_2022_8_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi179771_2022-12-08_2022-12-23_roi179771_s2_toa_2022_12_23_median,2,ambiguous,high,1.0,0.0,0.0,0.1174468994140625,1.0,0.703125,0.0,0.1174468994140625
roi180553_2022-09-25_2022-10-10_roi180553_s2_toa_2022_10_10_median,2,ambiguous,high,0.970794677734375,0.0001068115234375,0.0290985107421875,0.0732574462890625,1.0,1.0,0.6035658121109009,0.05726006627082825
roi181411_2022-11-16_2022-12-01_roi181411_s2_toa_2022_11_16_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi181981_2022-03-29_2022-04-05_roi181981_s2_toa_2022_4_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi18510_2022-01-11_2022-01-19_roi18510_s2_toa_2022_1_16_median,1,valid_shadow,high,0.995025634765625,0.0029754638671875,0.0019989013671875,0.0246124267578125,1.0,0.767669677734375,0.04580152779817581,0.02215917780995369
roi18632_2022-04-27_2022-05-12_roi18632_s2_toa_2022_4_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi186748_2022-06-06_2022-06-21_roi186748_s2_toa_2022_6_6_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi187534_2022-10-24_2022-11-08_roi187534_s2_toa_2022_10_29_median,2,ambiguous,high,0.9875030517578125,0.0,0.0124969482421875,0.0117034912109375,1.0,0.3686065673828125,0.1379731446504593,0.010105536319315434
roi18759_2022-01-01_2022-01-16_roi18759_s2_toa_2022_1_1_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi187765_2022-12-11_2022-12-26_roi187765_s2_toa_2022_12_11_median,2,ambiguous,high,0.8861541748046875,0.030914306640625,0.0829315185546875,0.1438751220703125,1.0,1.0,0.7252990007400513,0.05959535017609596
roi188755_2022-12-08_2022-12-23_roi188755_s2_toa_2022_12_8_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi189314_2022-02-27_2022-03-14_roi189314_s2_toa_2022_2_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi189314_2022-02-27_2022-03-14_roi189314_s2_toa_2022_3_9_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi189985_2022-05-23_2022-06-07_roi189985_s2_toa_2022_6_2_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi193152_2022-09-22_2022-10-07_roi193152_s2_toa_2022_10_7_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi194846_2022-07-02_2022-07-17_roi194846_s2_toa_2022_7_2_median,0,no_shadow,high,0.922515869140625,0.0,0.077484130859375,0.0,1.0,1.0,0.0,0.0
roi19551_2022-08-03_2022-08-18_roi19551_s2_toa_2022_8_18_median,0,no_shadow,high,0.998565673828125,0.0,0.001434326171875,0.0,1.0,1.0,0.0,0.0
roi19669_2022-01-24_2022-02-08_roi19669_s2_toa_2022_1_24_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi19699_2022-03-22_2022-03-29_roi19699_s2_toa_2022_3_22_median,1,valid_shadow,high,0.97393798828125,0.022308349609375,0.003753662109375,0.102203369140625,1.0,0.64453125,0.0,0.0846807062625885
roi197131_2022-11-17_2022-12-02_roi197131_s2_toa_2022_11_17_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi197231_2022-09-06_2022-09-21_roi197231_s2_toa_2022_9_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi198119_2022-02-20_2022-03-07_roi198119_s2_toa_2022_2_20_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi199339_2022-07-18_2022-08-02_roi199339_s2_toa_2022_7_18_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi19955_2022-08-11_2022-08-26_roi19955_s2_toa_2022_8_21_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi200378_2022-03-19_2022-04-03_roi200378_s2_toa_2022_3_24_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi200767_2022-06-04_2022-06-19_roi200767_s2_toa_2022_6_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi20077_2022-03-08_2022-03-15_roi20077_s2_toa_2022_3_15_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi20249_2022-06-08_2022-06-16_roi20249_s2_toa_2022_6_11_median,2,ambiguous,high,0.998870849609375,0.000335693359375,0.00079345703125,0.0048065185546875,1.0,0.0951690673828125,0.0,0.004811951890587807
roi20526_2022-10-04_2022-10-11_roi20526_s2_toa_2022_10_6_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi205359_2022-10-29_2022-11-13_roi205359_s2_toa_2022_11_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi206079_2022-04-01_2022-04-16_roi206079_s2_toa_2022_4_16_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi206095_2022-07-22_2022-08-06_roi206095_s2_toa_2022_8_6_median,1,valid_shadow,high,0.75946044921875,0.141754150390625,0.098785400390625,0.0223388671875,1.0,0.3504638671875,0.0029348162934184074,0.003154383972287178
roi206178_2022-06-18_2022-07-03_roi206178_s2_toa_2022_6_18_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi207010_2022-11-25_2022-12-10_roi207010_s2_toa_2022_11_25_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi20704_2022-11-20_2022-12-05_roi20704_s2_toa_2022_11_20_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi207637_2022-04-19_2022-05-04_roi207637_s2_toa_2022_4_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0003204345703125,1.0,0.0025787353515625,0.0,0.0003204345703125
roi20983_2022-11-18_2022-11-25_roi20983_s2_toa_2022_11_18_median,2,ambiguous,high,1.0,0.0,0.0,0.0981292724609375,1.0,0.300018310546875,0.0,0.0981292724609375
roi21119_2022-02-03_2022-02-10_roi21119_s2_toa_2022_2_3_median,2,ambiguous,high,1.0,0.0,0.0,0.0264739990234375,1.0,0.451171875,0.0,0.0264739990234375
roi21119_2022-07-03_2022-07-10_roi21119_s2_toa_2022_7_10_median,0,no_shadow,high,1.0,0.0,0.0,0.0009918212890625,1.0,0.005126953125,0.0,0.0009918212890625
roi213408_2022-04-23_2022-05-08_roi213408_s2_toa_2022_4_28_median,2,ambiguous,high,1.0,0.0,0.0,0.0086212158203125,1.0,0.7452545166015625,0.0,0.0086212158203125
roi213408_2022-06-12_2022-06-27_roi213408_s2_toa_2022_6_17_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi21667_2022-09-19_2022-09-29_roi21667_s2_toa_2022_9_19_median,0,no_shadow,high,1.0,0.0,0.0,0.000244140625,1.0,0.002197265625,0.0,0.000244140625
roi21667_2022-09-19_2022-09-29_roi21667_s2_toa_2022_9_29_median,2,ambiguous,high,0.9577178955078125,0.00054931640625,0.0417327880859375,0.0954132080078125,1.0,0.431427001953125,0.9926874041557312,0.055906955152750015
roi216969_2022-10-20_2022-11-04_roi216969_s2_toa_2022_11_4_median,2,ambiguous,high,0.9672470092773438,0.00841522216796875,0.0243377685546875,0.0,1.0,1.0,0.0,0.0
roi221120_2022-07-08_2022-07-23_roi221120_s2_toa_2022_7_13_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi22177_2022-07-28_2022-08-05_roi22177_s2_toa_2022_7_31_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi222989_2022-09-05_2022-09-13_roi222989_s2_toa_2022_9_5_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi223023_2022-08-28_2022-09-12_roi223023_s2_toa_2022_8_28_median,1,valid_shadow,high,0.9899444580078125,0.00775146484375,0.0023040771484375,0.0330657958984375,1.0,0.671875,0.0,0.033401668071746826
roi22478_2022-05-10_2022-05-25_roi22478_s2_toa_2022_5_25_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi22630_2022-01-23_2022-01-31_roi22630_s2_toa_2022_1_23_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi22794_2022-10-28_2022-11-12_roi22794_s2_toa_2022_10_28_median,2,ambiguous,high,0.784027099609375,0.1478118896484375,0.0681610107421875,0.0465087890625,1.0,1.0,0.010745466686785221,0.05231403931975365
roi22879_2022-05-24_2022-05-30_roi22879_s2_toa_2022_5_24_median,0,no_shadow,high,1.0,0.0,0.0,0.0012664794921875,1.0,0.079345703125,0.0,0.0012664794921875
roi23028_2022-09-19_2022-10-04_roi23028_s2_toa_2022_9_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi230900_2022-08-17_2022-09-01_roi230900_s2_toa_2022_9_1_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi231569_2022-07-19_2022-08-03_roi231569_s2_toa_2022_7_24_median,0,no_shadow,high,0.9900436401367188,0.0,0.00995635986328125,0.0,1.0,1.0,0.0,0.0
roi232367_2022-09-29_2022-10-14_roi232367_s2_toa_2022_10_4_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi23329_2022-06-23_2022-07-08_roi23329_s2_toa_2022_7_3_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi23382_2022-02-24_2022-03-04_roi23382_s2_toa_2022_2_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi234833_2022-08-09_2022-08-24_roi234833_s2_toa_2022_8_9_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi234833_2022-11-27_2022-12-12_roi234833_s2_toa_2022_11_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi235785_2022-05-20_2022-06-04_roi235785_s2_toa_2022_6_4_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi238685_2022-07-16_2022-07-31_roi238685_s2_toa_2022_7_31_median,2,ambiguous,high,1.0,0.0,0.0,0.003448486328125,1.0,0.0579071044921875,0.0,0.003448486328125
roi239811_2022-02-21_2022-03-08_roi239811_s2_toa_2022_3_8_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi239811_2022-06-21_2022-07-06_roi239811_s2_toa_2022_6_26_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi242228_2022-06-02_2022-06-17_roi242228_s2_toa_2022_6_17_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi242228_2022-11-14_2022-11-29_roi242228_s2_toa_2022_11_14_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi243282_2022-06-26_2022-07-11_roi243282_s2_toa_2022_6_26_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi245898_2022-02-19_2022-03-06_roi245898_s2_toa_2022_2_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi245898_2022-02-19_2022-03-06_roi245898_s2_toa_2022_2_24_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi245898_2022-06-29_2022-07-14_roi245898_s2_toa_2022_6_29_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi248782_2022-06-20_2022-07-10_roi248782_s2_toa_2022_6_20_median,2,ambiguous,high,0.95819091796875,0.04145050048828125,0.00035858154296875,0.000732421875,1.0,0.155029296875,0.0,0.0006529078236781061
roi251471_2022-07-29_2022-08-13_roi251471_s2_toa_2022_8_13_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi251574_2022-08-19_2022-09-03_roi251574_s2_toa_2022_8_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi264754_2022-10-04_2022-10-19_roi264754_s2_toa_2022_10_19_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi265868_2022-10-06_2022-10-21_roi265868_s2_toa_2022_10_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi265868_2022-11-20_2022-12-05_roi265868_s2_toa_2022_11_20_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi266671_2022-04-25_2022-05-10_roi266671_s2_toa_2022_4_25_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi268253_2022-06-27_2022-07-12_roi268253_s2_toa_2022_7_12_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi27792_2022-12-11_2022-12-26_roi27792_s2_toa_2022_12_21_median,2,ambiguous,high,0.9960479736328125,0.000579833984375,0.0033721923828125,0.0202484130859375,1.0,0.30078125,0.5475113391876221,0.017892979085445404
roi278870_2022-11-17_2022-12-02_roi278870_s2_toa_2022_12_2_median,2,ambiguous,medium,0.19488525390625,0.712158203125,0.09295654296875,0.0,1.0,1.0,0.0,0.0
roi283614_2022-06-19_2022-07-04_roi283614_s2_toa_2022_6_19_median,2,ambiguous,high,0.8443222045898438,0.0712890625,0.08438873291015625,0.0682220458984375,1.0,1.0,0.0,0.025255948305130005
roi287216_2022-01-03_2022-01-18_roi287216_s2_toa_2022_1_8_median,0,no_shadow,high,1.0,0.0,0.0,0.00067138671875,1.0,0.003662109375,0.0,0.00067138671875
roi289947_2022-11-11_2022-11-26_roi289947_s2_toa_2022_11_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi289947_2022-11-11_2022-11-26_roi289947_s2_toa_2022_11_26_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi293134_2022-03-01_2022-03-16_roi293134_s2_toa_2022_3_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi294583_2022-05-25_2022-06-09_roi294583_s2_toa_2022_5_25_median,2,ambiguous,high,0.9991912841796875,0.0,0.0008087158203125,0.0097198486328125,1.0,0.1142578125,0.698113203048706,0.00916268303990364
roi294731_2022-02-01_2022-02-16_roi294731_s2_toa_2022_2_6_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi295499_2022-05-02_2022-05-17_roi295499_s2_toa_2022_5_2_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi295499_2022-11-18_2022-12-03_roi295499_s2_toa_2022_11_18_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi298377_2022-06-26_2022-07-11_roi298377_s2_toa_2022_6_26_median,0,no_shadow,high,0.9989013671875,0.0,0.0010986328125,0.0,1.0,1.0,0.0,0.0
roi298377_2022-06-26_2022-07-11_roi298377_s2_toa_2022_7_11_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi298614_2022-01-25_2022-02-09_roi298614_s2_toa_2022_1_25_median,2,ambiguous,high,1.0,0.0,0.0,0.0023651123046875,1.0,0.0101776123046875,0.0,0.0023651123046875
roi299662_2022-09-13_2022-09-28_roi299662_s2_toa_2022_9_13_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi300743_2022-11-11_2022-11-26_roi300743_s2_toa_2022_11_26_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi305777_2022-01-30_2022-02-14_roi305777_s2_toa_2022_1_30_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi306025_2022-09-22_2022-10-07_roi306025_s2_toa_2022_10_7_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi306025_2022-09-22_2022-10-07_roi306025_s2_toa_2022_9_22_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
roi306025_2022-09-22_2022-10-07_roi306025_s2_toa_2022_9_27_median,0,no_shadow,high,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
